Date,AAPL,MSFT,AMZN,GOOG - C,TSLA,NVDA,FB,AVGO,CSCO,COST,PEP,ADBE,CMCSA,INTC,QCOM,AMD,NFLX,TXN,TMUS,INTU,AMGN,HON,PYPL,AMAT,SBUX,ISRG,CHTR,MU,MDLZ,BKNG,ADP,ADI,CSX,GILD,LRCX,FISV,REGN,ATVI,VRTX,MRNA,MELI,KDP,MAR,KLAC,ILMN,ASML,JD,NXPI,KHC,WDAY,SNPS,CTSH,ADSK,ORLY,IDXX,MNST,PAYX,CDNS,EXC,DXCM,WBA,LULU,CRWD,CTAS,MCHP,BIDU,ALGN,ODFL,XEL,EA,AZN,EBAY,ROST,DLTR,PCAR,BIIB,FAST,VRSK,CPRT,ANSS,ZM,SIRI,NTES,VRSN,SGEN,SWKS,DOCU,SPLK,PDD,EXC (CEG?),CDW,FOXA,CERN,CHKP,TCOM,INCY,CSGP,BMRN,CTXS,EXPE,LBTYA,TTWO,ULTA
12/23/2019,71,157.41,1793,1348.84,83.84,59.71,206.18,319.53,48.1,293.31,137.04,328.95,44.1,59.23,88.45,45.46,333.1,128.55,76.96,266.28,243.03,176.43,108.61,61.08,88.23,199.14,480.72,55.4,54.73,2032.1,170.02,119.17,24.24,66.75,294.45,116.33,374.2,58.89,219.98,19.7,594.15,28.81,151.24,177.11,334.02,296.14,36.26,128.03,31.92,165.61,139.91,62.63,182.92,437.41,263.98,63.36,84.91,70.14,32.09,216.39,58.57,228.13,47.85,270.86,52.49,128.83,278.14,124.89,63.02,107.79,49.89,36.21,114.2,92.44,79.55,301.56,36.93,149.55,89.87,255.73,66.15,7.09,60.67,192.43,115.16,120.03,73.35,150.05,37.89,32.09,142.87,37.46,73.44,111.75,34.66,90.16,60.18,86,110.16,108,22.8,122.12,253.02
12/24/2019,71.07,157.38,1789.21,1343.56,85.05,59.66,205.12,320.5,47.78,294.23,136.89,329.64,44.53,59.41,88.77,46.54,333.2,128.53,77.32,264.33,242.33,176.31,108.69,61.5,88.52,199.6,480.86,55.42,54.99,2044,169.91,119.72,24.33,66.72,294.48,116.63,376.51,58.81,220.56,19.75,594.53,28.65,151.5,178.11,335.49,294.93,36.28,129.2,31.98,166.19,138.21,62.4,183.91,439.83,263.26,63.47,84.65,69.65,32.18,216.4,58.35,229.03,47.75,268.81,52.53,128.49,277.89,125.33,62.86,108.55,49.87,36.21,115.12,93.23,79.49,304.07,37.01,149.17,90.91,256.49,66.46,7.14,60.17,192.75,115.45,122.16,73.7,150.35,38.04,32.18,142.97,37.3,73.29,111.58,34.47,91.43,60.03,86.37,110.67,108.77,22.79,123.93,252.49
12/26/2019,72.48,158.67,1868.77,1360.4,86.19,59.8,207.79,317.98,47.85,295.73,136.69,331.2,44.97,59.82,88.4,46.63,332.63,128.48,77.4,266.87,241.9,176.88,109.75,61.31,88.08,199.35,485.73,55.11,54.85,2064.32,170.35,119.73,24.29,66.39,294.92,116.03,374.86,58.89,220.25,19.86,597.24,28.82,153.13,178.75,331.34,296.34,36.24,128.68,31.63,165.36,140.07,62.12,184.24,439.09,261.43,63.88,84.71,70.05,32.18,215.32,58.9,231.17,50.03,268.13,52.97,127.58,278.26,125.5,62.79,108.51,49.85,36.25,115.31,92.08,79.51,301.79,36.94,148.83,91.02,258.33,67.45,7.16,61.26,193.71,113.58,122.28,74.44,151.92,38.57,32.18,144.63,37.57,73.02,112.07,34.57,88.79,60.15,86.32,111.26,109.07,22.42,123.99,251.33
12/27/2019,72.45,158.96,1869.8,1351.89,86.08,59.22,208.1,316.53,47.77,294.11,137.54,330.79,45.1,60.08,88.8,46.18,329.09,128.57,77.24,267.06,241.53,176.48,109.4,61.17,88.13,199.29,483.69,54.03,55.28,2072.54,170.77,119.45,24.28,65.95,293.7,117.08,373.32,59.19,220.97,19.52,599.24,28.84,152.73,178.52,332.29,296.67,35.93,128.19,31.62,165.85,140.62,62.16,185.38,437.21,263.98,63.57,85.12,70.29,32.24,218.11,59.02,230.02,48.92,269.01,52.74,126.45,277.64,125.95,63.12,108.43,50.44,36.07,114.96,92.84,79.41,300.09,36.98,148.58,90.82,258.68,66.64,7.14,61.22,194.05,113.42,122.29,74.39,151.51,39.24,32.24,143.96,37.41,73.28,111.8,34.61,88.39,59.86,85.59,110.79,108.32,22.79,124.47,253.17
12/30/2019,72.88,157.59,1846.89,1336.14,82.94,58.08,204.41,313.46,47.59,295.14,136.81,328.34,45.18,59.62,88.43,45.52,323.31,127.66,78.08,262.84,240.27,176.42,107.97,60.93,87.44,197.11,483.08,53.21,55,2053.87,169.59,118.86,24.11,64.93,292.54,115.47,373.7,58.88,218.97,19.05,583.85,28.87,151.87,178.37,328.14,294.89,35.4,127.55,31.71,163.84,139.1,61.65,183.3,437.51,261.6,63.36,84.89,69.99,32.22,216.19,58.91,230.83,50.03,268.36,52.5,126.29,275.63,125.61,63.29,106.93,50.01,35.8,116.5,93.49,78.97,296.01,36.95,147.55,90.86,256.8,66.79,7.09,60.72,192.33,114.22,121.03,73.75,148.95,38.15,32.22,142.78,37.08,73.11,111.68,34.2,88.05,59.69,84.59,110.36,107.77,22.62,122.35,251.35
12/31/2019,73.41,157.7,1847.84,1337.02,83.67,58.83,205.25,316.02,47.96,293.92,136.67,329.81,44.97,59.85,88.23,45.86,323.57,128.29,78.42,261.93,241.07,177,108.17,61.04,87.92,197.05,485.08,53.78,55.08,2053.73,170.5,118.84,24.12,64.98,292.4,115.63,375.48,59.42,218.95,19.56,571.94,28.95,151.43,178.17,331.74,295.94,35.23,127.26,32.13,164.45,139.2,62.02,183.46,438.26,261.13,63.55,85.06,69.36,32.37,218.74,58.96,231.67,49.87,269.08,52.36,126.4,279.04,126.52,63.49,107.51,49.86,36.11,116.42,94.05,79.1,296.73,36.95,149.34,90.94,257.41,68.04,7.15,61.33,192.68,114.26,120.88,74.11,149.77,37.82,32.37,142.84,37.07,73.39,110.96,33.54,87.32,59.83,84.55,110.9,108.14,22.74,122.43,253.14
01/02/2020,75.09,160.62,1898.01,1367.37,86.05,59.98,209.78,322.39,48.42,291.49,135.82,334.43,45.37,60.84,88.69,49.1,329.81,129.57,78.59,266.16,240.1,180.79,110.75,62.2,89.35,199.09,490.43,55.39,54.33,2074.58,170.32,120.43,24.4,65.23,297.89,115.52,373.35,58.65,219.45,19.23,610.19,28.74,151.49,182.57,327,302.83,37.73,128.54,31.61,167.46,142.87,61.92,187.83,437.52,265.02,63.7,85.11,71.44,32.26,219.38,59.08,233.42,49.44,270.79,53.8,138.22,283.68,128.02,62.38,107.34,50.39,36.3,116.83,93.78,79.51,294.24,37.23,151.12,93.48,259.59,68.72,7.13,65.74,196.73,112.41,121.67,75.9,151.98,41.23,32.26,143.88,37.07,73.62,112.26,36.97,85.97,62.07,84.04,111.67,110.98,22.48,122.08,254.55
01/03/2020,74.36,158.62,1874.97,1360.66,88.6,59.02,208.67,314.19,47.63,291.73,135.63,331.81,45.01,60.1,87.02,48.6,325.9,127.85,78.17,264.38,238.47,178.86,108.76,61.21,88.83,197.78,494.47,54.53,54.24,2065.48,169.96,118.31,24.3,65.07,294.69,116.37,369.16,58.67,217.98,18.89,607.8,28.81,149.27,179.08,322.73,297.95,37.99,127.3,31.24,168.44,141.76,61.36,184.95,438.75,264.77,63.28,84.82,70.42,32.36,218.7,59.08,232.64,50.75,269.57,52.62,133.8,280.44,126.49,62.68,107.2,50.09,35.96,116.86,93.03,78.73,290.85,36.57,152.59,92.66,256.97,67.28,7.09,64.93,200.88,112.65,118.65,75.56,152.06,40.89,32.36,142.15,36.67,73.83,112.29,36.18,77.9,62.62,84,111.82,109.13,22.11,122.21,250.17
01/06/2020,74.95,159.03,1902.88,1394.21,90.31,59.27,212.6,313.72,47.8,291.81,136.15,333.71,44.67,59.93,86.51,48.39,335.83,126.96,78.62,266.41,240.3,177.51,110.17,59.89,88.13,198.59,497.45,53.57,54.15,2047.4,170.19,116.92,24.17,65.65,289.19,116.93,371.74,59.74,224.03,18.13,606.55,29,147.34,175.05,325.53,295.58,38,126.4,31.31,169.49,141.98,60.75,187.12,434.66,266.93,63.38,84.81,70.85,32.4,225.99,59.59,235.43,55.11,270.27,51.87,135.94,285.88,125.49,62.59,108.78,49.88,35.78,117.43,93.03,78.44,290.82,36,152.94,93.49,254.59,70.32,7.12,64.81,202.74,111,116.56,75.39,154.46,40.09,32.4,141.08,36.57,73.99,112.8,35.69,77.34,62.45,84.59,113.01,108.74,22.58,124.69,250.95
01/07/2020,74.6,157.58,1906.86,1393.34,93.81,59.98,213.06,312.64,47.49,291.35,134.01,333.39,44.93,58.93,88.97,48.25,330.75,129.41,78.92,266.47,238.04,177.61,109.67,61.62,87.86,194.27,499.16,58.27,53.92,2068.05,168.13,119.58,24.33,65.12,296.24,116.48,373.13,60.34,223.79,17.78,625,28.2,144.94,176.44,329.69,298.79,38.32,128.04,30.76,172.95,142.96,60.32,187.5,428.77,266.12,63.69,84.34,71.07,32.43,231.45,59.29,233.7,54.75,270.07,55.35,136.7,283.06,125.85,62.46,108.39,50.07,35.62,118.8,91.93,77.92,290.09,35.93,154.22,93.37,256.67,71.9,7.07,65.61,203.21,111.32,117.67,75.24,153.41,41.21,32.43,140.92,37.07,73.02,112.03,37.33,77.14,62,84.21,112.41,110.02,22.28,125.51,253.09
