Date,AAPL,MSFT,AMZN,GOOG - C,TSLA,NVDA,FB,AVGO,CSCO,COST,PEP,ADBE,CMCSA,INTC,QCOM,AMD,NFLX,TXN,TMUS,INTU,AMGN,HON,PYPL,AMAT,SBUX,ISRG,CHTR,MU,MDLZ,BKNG,ADP,ADI,CSX,GILD,LRCX,FISV,REGN,ATVI,VRTX,MRNA,MELI,KDP,MAR,MRVL,KLAC,ILMN,ASML,JD,NXPI,KHC,WDAY,AEP,SNPS,CTSH,ADSK,ORLY,IDXX,MNST,PAYX,CDNS,EXC,DXCM,WBA,TEAM,LULU,CRWD,CTAS,MCHP,BIDU,ALGN,ODFL,XEL,EA,AZN,EBAY,ROST,DLTR,PCAR,BIIB,FAST,VRSK,MTCH,CPRT,ANSS,ZM,OKTA,SIRI,NTES,VRSN,SGEN,SWKS,DOCU,SPLK,PDD,EXC (CEG?),CDW,FOXA,CERN,CHKP,TCOM,INCY,PTON
12/21/2020,128.23,222.59,3206.18,1739.37,649.86,133.3225,272.79,428.88,44.88,364.97,145.4,498.39,50.37,46.36,146.8,93.23,528.91,162.43,130.22,375.93,227.31,210.66,237.72,86.41,102.94,263.09,654.69,71.47,57.68,2068.2,177.49,142.59,29.8967,58.54,483.23,112.49,496.74,88.81,234.55,138.3,1697.89,30.77,127.32,47.25,260.77,362.63,472.26,80.64,157.03,34.57,242.32,82.12,254.24,80.47,300.88,452.59,489.68,88.97,96.59,131.73,29.4726,348.85,40.67,248.19,373.4,210.65,346.13,69,193.08,530.71,197.82,65.39,141.01,49.68,51.57,116.79,111.52,85.85,248.32,49.61,202.77,154.15,122.18,355.95,408.97,275.54,6.31,92.93,214.89,197.84,147.71,248,174.37,146.87,29.4726,130.99,27.72,76.59,126.97,33.6,86.97,144.39
12/22/2020,131.88,223.94,3206.52,1723.5,640.34,132.7825,267.09,433.1,44.69,362.03,144.02,504.17,50.02,46.17,146.34,93.16,527.33,162.52,132.25,379.97,220.99,207.94,243.49,85.64,102.41,271.75,641.1,70.44,57.16,2052.82,176.34,144.28,29.85,57,476.95,110.52,490.06,89.42,234.9,125.88,1732.39,31.07,126.26,47.15,257.59,370.96,476.18,82.79,156.38,34.39,257.71,81.4,258.05,81.02,303.86,453.39,499.15,88.27,96.63,134.37,29.6501,354.23,39.27,247.01,360.07,224.9,348,68.475,191.26,536.59,198.66,64.83,139.43,48.73,51.62,116.74,108.98,84.87,247.87,49.47,201.93,156.12,123.04,362.31,409,285.6,6.27,92.5,216.34,196.91,149.43,251.6,177,139.02,29.6501,130.75,27.27,77.38,133.42,32.95,87.99,161.21
12/23/2020,130.96,221.02,3185.27,1732.38,645.98,130.0925,268.11,425.46,44.375,361.89,144.41,496.91,50.035,46.57,146.96,91.55,514.48,160.98,132.23,376.92,222.94,209.99,239.44,84.03,102.06,269.8833,647.44,69.95,57.35,2100.85,175.19,143.22,29.89,57.38,471.13,110.64,492.19,90.21,235.84,130.34,1670.01,31.61,128.61,46.41,252.79,366.52,474.62,85.46,156.86,34.8,248.76,80.71,254.7,80.99,300.18,457.93,493.68,88.94,94.4,133.06,29.6146,355.99,39.87,240.88,355.13,223.5,339.42,68,193.36,525,196.83,64.31,141.51,48.77,51.13,118.14,107.62,85.09,251.2,49.09,199.97,153.39,123.35,362.22,383.88,272.52,6.27,92.58,214.01,191.19,150.74,244.05,182.55,140.25,29.6146,129.85,28.11,77.69,134.88,32.63,87.93,162.76
12/24/2020,131.97,222.75,3172.69,1738.85,661.77,129.9375,267.4,431.46,44.54,364.58,145.06,499.86,50.38,47.07,148.79,91.81,513.97,161.64,132.92,381.16,222.93,209.53,238.64,85.33,102.01,269,656.49,70.58,57.85,2088.35,176.56,144.47,30.0167,57.07,480.34,112.63,488.93,90.96,234.46,123.39,1690.48,31.88,128.75,47.05,259.08,367.29,483.09,84.49,157.33,34.98,248.76,81.42,256.28,81.07,301.39,461.76,497.14,89.81,94.71,134,29.6998,355.02,39.62,241.79,351.42,221.12,338.4,68.385,191.02,528.03,198.25,64.63,141.81,48.52,50.12,118.02,109.03,86.11,248.89,49.52,201.23,152.08,123.71,364.17,375.17,275.6,6.305,92.66,214.59,190.61,151.21,244.93,180.2,152.75,29.6998,129.23,28.31,78.41,134.75,31.99,87.37,162.72
12/28/2020,136.69,224.96,3283.96,1776.09,663.69,129,277,431.88,44.92,371.06,146.91,498.95,51.11,47.07,147.74,91.6,519.12,161.47,133,381.12,223.65,209.94,235.73,84.87,104.34,268.3866,651.9,70.66,58.27,2137.92,176.61,144.68,30.2133,56.89,476.1,112.67,482.96,91.43,232.47,111.4,1663.72,31.99,128.32,46.98,257.58,366.78,480.24,81.61,158.17,35.21,241.92,81.28,256.16,81.37,299.65,457.06,494.7,90.81,94.3,134.76,29.9696,362.31,39.66,231.8,351.36,212.55,354.19,68.125,193.08,520.86,194.91,65.32,140.72,49.38,50.24,122.62,107.93,85.58,244.15,50.05,207.98,150.08,126.72,363.72,351.39,262.75,6.345,91.13,216.8,185.86,153.22,229.2,175.55,143.8,29.9696,131.06,29.14,78.05,137.59,31.9,86.34,152.18
12/29/2020,134.87,224.15,3322,1758.72,665.99,129.4325,276.78,429.04,44.64,372.72,147.42,502.11,51.55,49.39,148.49,90.62,530.87,161.18,133.14,378.33,226.87,209.13,231.03,84.27,105.63,271.3566,664.98,70.21,58.45,2185.4,174.87,143.66,29.7767,56.83,473.22,111.87,484.22,91.37,233.49,114.39,1673.49,32,129,46.23,254.36,366.11,484.01,86.14,155.91,34.9,237.72,81.18,253.82,80.5,298.11,452.58,494.07,91.04,93.14,133.98,29.6998,356.9,39.41,233.15,353.22,205.93,347.37,67.58,195.07,520.45,194.13,65.42,140.7,49.9,50.86,121.46,109.1,85.32,243.46,49.72,205.67,150.22,125.92,360.85,353.75,261.75,6.41,93.44,215.63,186.21,150.41,228.16,172.24,166.19,29.6998,129.47,29.02,78.5,135.04,32.03,85.87,150.1
12/30/2020,133.72,221.68,3285.85,1739.52,694.78,131.4575,271.87,434.83,44.48,374.45,147.31,497.45,51.21,48.75,149.95,92.29,524.59,162.7,133.28,375.55,227.17,210.95,231.51,86.98,105.97,271.7666,653.49,71.92,58,2205.26,173.81,146.18,30.11,56.65,484.45,112.88,478.3,91.58,232.68,111.13,1712.94,31.82,130.47,47.5,260.15,364.09,489.91,89.52,159.39,34.67,236.93,81.51,256.91,81.07,299.41,451.8,496.96,91.46,92.14,135.25,29.7708,362.77,39.34,234.04,350.78,210.29,350.23,68.395,219.63,524.32,193.62,65.65,142.05,50.18,50.55,122.49,107.8,85.87,243.58,49.07,205.78,152,126.54,362.32,353.4,260.52,6.41,95.93,214.5,183.7,152.75,225.9,172.38,179.11,29.7708,130,29.09,77.98,134.12,33.25,86.86,154.96
12/31/2020,132.69,222.42,3256.93,1751.88,705.67,130.55,273.16,437.85,44.75,376.78,148.3,500.12,52.4,49.82,152.34,91.71,540.73,164.13,134.85,379.85,229.92,212.7,234.2,86.3,106.98,272.7,661.55,75.18,58.47,2227.27,176.2,147.73,30.25,58.26,472.27,113.86,483.11,92.85,236.34,104.47,1675.22,32,131.92,47.54,258.91,370,487.72,87.9,159.01,34.66,239.61,83.27,259.24,81.95,305.34,452.57,499.87,92.48,93.18,136.43,29.9767,369.72,39.88,233.87,348.03,211.82,353.46,69.055,216.24,534.38,195.18,66.67,143.6,49.99,50.25,122.81,108.04,86.28,244.86,48.83,207.59,151.19,127.25,363.8,337.32,254.26,6.37,95.77,216.4,175.14,152.88,222.3,169.89,177.67,29.9767,131.79,29.12,78.48,132.91,33.73,86.98,151.72
01/04/2021,129.41,217.69,3186.63,1728.24,729.77,131.135,268.94,425.22,43.96,380.15,144.27,485.34,50.51,49.67,148.5,92.3,522.86,162.22,132.43,371.7,226.66,207.95,231.92,86.87,103.1,266.6666,647.03,74.05,57.92,2164.08,168.96,146.02,29.33,60.11,478.02,111.92,482.86,89.9,229.43,111.73,1640,31.59,124.77,46.31,260.33,367.76,500,86.33,162.04,34.23,228.08,81.54,254.7,79.42,296.84,453.97,491.77,90.6,90.36,135.76,29.2312,357.74,41.4,231.56,356.4,200.49,343.6,68.59,216.8,526.46,190.69,65.655,139.51,50.52,51.5,117.07,106.94,84.72,242.95,47.65,202.88,149.92,120.65,357.67,359.98,250.67,6.17,96.74,213.58,168.43,150.72,222.41,166.37,166.78,29.2312,127.16,28.81,77.74,129.88,33.5,86.45,145.96
01/05/2021,131.01,217.9,3218.51,1740.92,735.11,134.0475,270.97,428.1,43.98,375.74,144.7,485.69,49.98,50.61,152.43,92.77,520.8,163.41,131.85,368.87,227.76,208.46,234.91,89.6,103.44,268.35,636.59,77.26,57.98,2188.07,168.49,148.63,29.8267,60,494.55,112.36,483.45,90.69,228.58,109.18,1650,31.635,126.09,47.61,265.79,374.9,505.36,95.5,165.67,33.57,225.36,81.43,258.89,79.65,301.7,451.28,497.26,91.42,90.02,136.14,29.1886,368.75,41.16,234.42,366.5,211.24,348.89,70.095,214,543.65,191.75,65.02,141.32,50.7,52.03,117.17,107.13,85.45,246.39,48.28,201.97,150.29,120.13,359.83,360.83,249.55,6.24,101.57,206.5,169,156.3,228.5,166.72,187.2,29.1886,127.84,29.445,78.21,128.74,34.25,85.87,148.53
